[08-22 04:01:34] [B] B-series start: min=100 b-min=80 plateau=25 threshold=0.68 parent=C:\Users\JUN\Desktop\airop\Release_260722_plz\artifacts\models\team01\E7_tail\bundle_000060
[08-22 08:20:15] [B] B2_bridge iter=45 score=0.957 success=1.000 dwell=1.000 survival=1.000 plateau=18
[08-22 08:22:15] [B] B2_bridge iter=46 score=0.957 success=1.000 dwell=1.000 survival=1.000 plateau=19
[08-22 08:24:15] [B] B2_bridge iter=49 score=0.930 success=0.950 dwell=1.000 survival=0.950 plateau=22
[08-22 08:30:15] [B] B2_bridge iter=53 score=0.930 success=0.950 dwell=1.000 survival=0.950 plateau=26
[08-22 08:32:16] [B] B2_bridge iter=54 score=0.854 success=0.850 dwell=0.900 survival=0.850 plateau=27
[08-22 08:36:16] [B] B2_bridge iter=58 score=0.855 success=0.850 dwell=0.900 survival=0.850 plateau=31
[08-22 08:40:16] [B] B2_bridge iter=61 score=0.857 success=0.850 dwell=0.900 survival=0.850 plateau=34
[08-22 08:42:16] [B] B2_bridge iter=62 score=0.857 success=0.850 dwell=0.900 survival=0.850 plateau=35
[08-22 08:46:16] [B] B2_bridge iter=65 score=0.857 success=0.850 dwell=0.900 survival=0.850 plateau=38
[08-22 08:50:16] [B] B2_bridge iter=69 score=0.858 success=0.850 dwell=0.900 survival=0.850 plateau=42
[08-22 08:54:17] [B] B2_bridge iter=72 score=0.858 success=0.850 dwell=0.900 survival=0.850 plateau=45
[08-22 08:56:17] [B] B2_bridge iter=73 score=0.886 success=0.900 dwell=0.900 survival=0.900 plateau=46
[08-22 09:00:17] [B] B2_bridge iter=76 score=0.886 success=0.900 dwell=0.900 survival=0.900 plateau=49
[08-22 09:02:17] [B] B2_bridge iter=77 score=0.962 success=1.000 dwell=1.000 survival=1.000 plateau=0
[08-22 09:06:17] [B] B2_bridge iter=80 score=0.962 success=1.000 dwell=1.000 survival=1.000 plateau=3
[08-22 09:12:18] [B] B2_bridge iter=84 score=0.962 success=1.000 dwell=1.000 survival=1.000 plateau=7
